Membership No  Date Joined  Active  
    63639      2015-5-17    no    
    95281      2019-8-15    no    
    97779      2016-7-25    yes   
    45319      2018-8-5     yes   
    12178      2019-4-21    yes   
    83384      2017-9-15    yes   
    40161      2016-1-6     yes   
    83595      2016-11-8    no    
    44651      2015-8-15    no    
    26622      2017-7-15    yes   
    58619      2015-5-13    yes   
    31661      2018-8-2     no    
    83686      2018-10-13   yes   
    98451      2017-4-14    no    
    92739      2017-8-13    yes   
    48053      2015-10-9    yes   
    61040      2016-7-7     no    
    80211      2017-2-13    no    
    88672      2015-8-16    yes   
    74112      2016-6-10    yes   
