Membership No  Date Joined  Active  
    83881      2018-5-18    no    
    79590      2015-2-19    no    
    29384      2018-5-15    yes   
    84308      2020-9-2     yes   
    78877      2017-5-23    yes   
    60032      2015-8-11    no    
    79119      2020-8-7     yes   
    94900      2017-5-19    no    
    58316      2017-5-16    no    
    22130      2017-7-19    yes   
    30915      2020-11-22   yes   
    62070      2018-5-8     yes   
    85283      2020-9-11    no    
    59661      2015-1-3     yes   
    88862      2015-6-18    no    
    86475      2019-10-22   yes   
    81536      2020-9-25    no    
    78523      2018-5-10    no    
    43592      2020-5-2     yes   
    27523      2018-10-25   no    
